Project URL,Vulnerability IDs,Used in the study,CVE ID,CWE Type,human_patch,CVE url
https://github.com/vaadin/flow,Flow-3,No,CVE-2018-25007,CWE-754,https://github.com/vaadin/flow/commit/d58da92fb10d94217b720ec17b8dd0858ef726e7,https://nvd.nist.gov/vuln/detail/CVE-2018-25007
https://github.com/x-stream/xstream,XStream-1,No,CVE-2020-26217,CWE-78,https://github.com/x-stream/xstream/commit/0fec095d534126931c99fd38e9c6d41f5c685c1a,https://nvd.nist.gov/vuln/detail/CVE-2020-26217
https://github.com/x-stream/xstream,XStream-2,No,CVE-2021-43859,CWE-400,https://github.com/x-stream/xstream/commit/e8e88621ba1c85ac3b8620337dd672e0c0c3a846,https://nvd.nist.gov/vuln/detail/CVE-2021-43859
https://github.com/FasterXML/jackson-databind,Jackson-databind-1,No,CVE-2017-15095,CWE-502;CWE-184,https://github.com/FasterXML/jackson-databind/commit/ddfddfba6414adbecaff99684ef66eebd3a92e92,https://nvd.nist.gov/vuln/detail/CVE-2017-15095
https://github.com/FasterXML/jackson-databind,Jackson-databind-2,No,CVE-2018-7489,CWE-502;CWE-184,https://github.com/FasterXML/jackson-databind/commit/6799f8f10cc78e9af6d443ed6982d00a13f2e7d2,https://nvd.nist.gov/vuln/detail/CVE-2018-7489
https://github.com/vaadin/flow,Flow-4,No,CVE-2020-36321,CWE-22,https://github.com/vaadin/flow/commit/19fe3864f9d1567c5ac7a211189986ac093e781f,https://nvd.nist.gov/vuln/detail/CVE-2020-36321
https://github.com/netty/netty,Netty-3,No,CVE-2021-43797,CWE-444,https://github.com/netty/netty/commit/07aa6b5938a8b6ed7a6586e066400e2643897323,https://nvd.nist.gov/vuln/detail/CVE-2021-43797
https://github.com/eclipse/lemminx,Lemminx-1,No,CVE-2022-0673,CWE-22,https://github.com/eclipse/lemminx/commit/48f23ab4dae19268027ede6c923d12e0b5e8d1fe,https://nvd.nist.gov/vuln/detail/CVE-2022-0673
https://github.com/hunterhacker/jdom,Jdom-1,No,CVE-2021-33813,CWE-611,https://github.com/hunterhacker/jdom/commit/2a25ee409d09fb3eed75a4272ab8540c5261f960,https://nvd.nist.gov/vuln/detail/CVE-2021-33813
https://github.com/eclipse/lemminx,Lemminx-2,No,CVE-2022-0671,CWE-400;CWE-918,https://github.com/eclipse/lemminx/commit/b46cb1f283c70b85c22221b30a4aff62be495237,https://nvd.nist.gov/vuln/detail/CVE-2022-0671
https://github.com/eclipse/lemminx,Lemminx-3,No,CVE-2022-0672,CWE-200,https://github.com/eclipse/lemminx/commit/076b88052c2a63f60a98ef4b45e3e38c217b70ae,https://nvd.nist.gov/vuln/detail/CVE-2022-0672
https://github.com/haraldk/TwelveMonkeys,TwelveMonkeys-1,No,CVE-2021-23792,CWE-611,https://github.com/haraldk/TwelveMonkeys/commit/da4efe98bf09e1cce91b7633cb251958a200fc80,https://nvd.nist.gov/vuln/detail/CVE-2021-23792
https://github.com/cometd/cometd,CometD-1,No,CVE-2022-24721,CWE-863,https://github.com/cometd/cometd/commit/bb445a143fbf320f17c62e340455cd74acfb5929,https://nvd.nist.gov/vuln/detail/CVE-2022-24721
